date;subject;description;type
2024/01/08 17:57:29;Academy;Creating new events.csv file;ACTION
2024/01/08 18:14:13;Academy;Arduino not found;ERROR
2024/01/08 18:14:13;Academy;Touch device not found;ERROR
2024/01/08 18:14:13;Academy;Stablishing connection with Bpod...;ACTION
2024/01/08 18:14:21;Academy;Connection to Bpod failed;ERROR
2024/01/08 18:14:21;Academy;EXIT;END
2024/01/10 12:05:25;Academy;Touch device not found;ERROR
2024/01/10 12:05:25;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 12:05:37;Academy;Connection to Bpod failed;ERROR
2024/01/10 15:10:24;Academy;Cam1 not found;ERROR
2024/01/10 15:10:24;Academy;Touch device not found;ERROR
2024/01/10 15:10:24;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 15:10:36;Academy;Connection to Bpod failed;ERROR
2024/01/10 15:10:44;Academy;EXIT;END
2024/01/10 15:14:45;Academy;Cam1 not found;ERROR
2024/01/10 15:14:45;Academy;Touch device not found;ERROR
2024/01/10 15:14:45;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 15:14:57;Academy;Connection to Bpod failed;ERROR
2024/01/10 15:16:54;Academy;Cam1 not found;ERROR
2024/01/10 15:16:54;Academy;Touch device not found;ERROR
2024/01/10 15:16:54;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 15:17:06;Academy;Connection to Bpod failed;ERROR
2024/01/10 15:17:14;Academy;EXIT;END
2024/01/10 15:26:52;Academy;Cam1 not found;ERROR
2024/01/10 15:26:52;Academy;Touch device not found;ERROR
2024/01/10 15:26:52;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 15:26:52;Academy;Connection with Bpod stablished;START
2024/01/10 15:26:53;Academy;Temperature: nan;ACTION
2024/01/10 15:27:01;Academy;Subject not found for tag: 041A9DB979;ERROR
2024/01/10 15:27:10;Academy;Subject not found for tag: 041A9D6C0A;ERROR
2024/01/10 15:27:11;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:27:11;Academy;Subject not found for tag: 041A9D6C0A;ERROR
2024/01/10 15:28:31;Academy;Subject not found for tag: 041A9DB979;ERROR
2024/01/10 15:29:21;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:22;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:32;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:42;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:45;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:51;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:55;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:29:57;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:30:21;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:30:30;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:30:34;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 15:30:44;Academy;Subject not found for tag: 041A9DA41D;ERROR
