date;name;tag;weight;water;reward_frequency;reward_db;reward_duration;task;stage;substage;substage_bias;wait_seconds;choice;stim_dur_ds;stim_dur_dm;stim_dur_dl;block;conditions;completed_conditions;current_condition;repetition;current_repetition;trial_counter;stim_trial;stim_trials;stim_trial_counter;ror;completed_ror;current_ror;trial_counter_ror;moved_back_counter;block_size;block_trial_counter;block_accuracy;block_number;ror_change;block_change;last_stim_trial;last_condition_trial;total_trials;block_correct_count;block_valid_count;condition_trial_counter;stage_forward_change;stage_backward_change;task_number;last_forward_stage;last_backward_stage
2025/04/02 10:00:00;chand;041AFA3D90;151;0;250;70;1;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;felix;041AFA0144;151;0;290;70;2;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;fergus;041AF9B7BC;151;0;336.4;70;1;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;geralt;041AFD2E16;151;0;390.2;70;2;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;joey;041AFA38BE;151;0;452.7;70;1;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;ross;041AFD52CB;151;0;525.1;70;2;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;innes;041AF9F119;151;0;609.1;70;1;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;pol;041AFD1738;151;0;706.6;70;2;basal_weight;0;0;;0;;;;;;[];[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025/04/02 10:00:00;chand;041AFA3D90;176.13;100;250;70;1;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;felix;041AFA0144;176.13;100;290;70;2;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;fergus;041AF9B7BC;176.13;100;336.4;70;1;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;geralt;041AFD2E16;176.13;100;390.2;70;2;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;joey;041AFA38BE;176.13;100;452.7;70;1;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;ross;041AFD52CB;176.13;100;525.1;70;2;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;innes;041AF9F119;176.13;100;609.1;70;1;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/04/02 10:00:00;pol;041AFD1738;176.13;100;706.6;70;2;Habituation;0;0;0;3600;abc0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025/03/24 12:00:00;m2;041AFA034F;634.41;10900;200;70;3;Probability_Extra_Training_Acc;1;0;0;1;0;0;0;0;0;[];[];0;0;0;0;0;[];0;[];[];0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
